No,日付,分類,関連分類,件名,取引先,部署,担当,金額,状態,メモ
08-001,2026-04-23,請求,会議,広告運用手数料 001（会議確認含む）,株式会社千代田ソリューション,総務部,鈴木 健太,15747,承認済,総務部で確認中。会議に関連する資料と照合予定。
08-002,2026-04-24,請求,契約,設備点検費 002（契約確認含む）,橘建材株式会社,営業企画部,田中 美咲,17117,差戻し,営業企画部で確認中。契約に関連する資料と照合予定。
08-003,2026-04-25,請求,見積,保守運用費 003（見積確認含む）,株式会社晴海オフィスサービス,法務部,高橋 直樹,18487,保留,法務部で確認中。見積に関連する資料と照合予定。
08-004,2026-04-26,請求,報告,追加開発費 004（報告確認含む）,,人事部,伊藤 彩,19857,完了,人事部で確認中。報告に関連する資料と照合予定。
08-005,2026-04-27,請求,人事,月額利用料 005（人事確認含む）,株式会社白峰システムズ,情報システム部,渡辺 誠,21227,作成中,情報システム部で確認中。人事に関連する資料と照合予定。
08-006,2026-04-28,請求,経費,広告運用手数料 006（経費確認含む）,株式会社桜丘ロジスティクス,管理本部,小林 真由,22597,確認待ち,管理本部で確認中。経費に関連する資料と照合予定。
08-007,2026-04-29,請求,請求,設備点検費 007（請求確認含む）,北浜製作所株式会社,経理部,佐藤 陽子,23967,承認済,経理部で確認中。請求に関連する資料と照合予定。
08-008,2026-04-30,請求,会議,保守運用費 008（会議確認含む）,合同会社六本木デザイン,総務部,鈴木 健太,25337,差戻し,総務部で確認中。会議に関連する資料と照合予定。
08-009,2026-05-01,請求,契約,追加開発費 009（契約確認含む）,株式会社東都メディア,営業企画部,田中 美咲,26707,保留,営業企画部で確認中。契約に関連する資料と照合予定。
08-010,2026-05-02,請求,見積,月額利用料 010（見積確認含む）,南青山フーズ株式会社,法務部,高橋 直樹,28077,完了,法務部で確認中。見積に関連する資料と照合予定。
08-011,2026-05-03,請求,報告,広告運用手数料 011（報告確認含む）,株式会社瑞穂設備,人事部,伊藤 彩,29447,作成中,人事部で確認中。報告に関連する資料と照合予定。
08-012,2026-05-04,請求,人事,設備点検費 012（人事確認含む）,港南リサーチ株式会社,情報システム部,渡辺 誠,30817,確認待ち,情報システム部で確認中。人事に関連する資料と照合予定。
08-013,2026-05-05,請求,経費,保守運用費 013（経費確認含む）,株式会社千代田ソリューション,管理本部,小林 真由,32187,承認済,管理本部で確認中。経費に関連する資料と照合予定。
08-014,2026-05-06,請求,請求,追加開発費 014（請求確認含む）,橘建材株式会社,経理部,佐藤 陽子,33557,差戻し,経理部で確認中。請求に関連する資料と照合予定。
08-015,2026-05-07,請求,会議,月額利用料 015（会議確認含む）,,総務部,鈴木 健太,34927,保留,総務部で確認中。会議に関連する資料と照合予定。
08-016,2026-05-08,請求,契約,広告運用手数料 016（契約確認含む）,京橋データワークス株式会社,営業企画部,田中 美咲,36297,完了,営業企画部で確認中。契約に関連する資料と照合予定。
